outcome,difference,p_mannwhitney,p_welch,n_treated_sources,n_control_sources
program_a,0.07705463684774141,0.5105979366056446,0.5610682463179673,30,30
program_b,-0.01767111151894358,0.8999950372363642,0.8938109822193504,30,30
