outcome,estimate,se_naive,p_naive,se_source,p_source,se_inflation,n_pairs,n_sources,q_naive,q_source
program_a,-0.10954870560141729,0.01725512130423804,2.3080802810157489e-10,0.12377074596925579,0.37969913863422744,7.172986140575922,6910,60,2.3080802810157489e-10,0.37969913863422744
program_b,-0.1305718840123558,0.01724780411304528,4.2066051349866023e-14,0.12383960574547627,0.2960155241296501,7.180021580359373,6910,60,8.413210269973205e-14,0.37969913863422744
